colonia_geo,alcaldia_geo,n_listings,precio_promedio,ingreso_anual_promedio,ocupacion_promedio,dist_transporte_promedio,tasa_crimen,reviews_promedio,score_precio,score_ocupacion,score_seguridad,score_transporte,score_total
lomas de san bernabe,la magdalena contreras,5,1389.2,496152.8,0.883287671232877,0.0992134772180408,0.000724017639702495,12.4,0.866509981130687,4.53988164782004,0.170248526029897,0.494204510462252,1.75480809598365
estadio olimpico mexico 68,coyoacan,7,2765,388004.714285714,0.470841487279843,0.158628441926565,0.000197459356282499,16.8571428571429,3.64553394324421,1.19758363208928,0.397444294216136,0.191039343475423,1.57063200013836
rincon del pedregal,tlalpan,7,3324.42857142857,736654.714285714,0.316242661448141,0.149181723035296,6.58197854274995e-05,7.85714285714286,4.77554223303265,-0.0552230828600967,0.454243236262695,0.23924127583706,1.55479264747172
24 de abril,venustiano carranza,24,1632.04166666667,430795.791666667,0.643607305936073,0.0867633471916179,6.58197854274995e-05,65.2083333333333,1.35703390224295,2.59760835130591,0.454243236262695,0.557731363789268,1.38878759607505
7 de noviembre,gustavo a madero,5,789.8,239367.4,0.827945205479452,0.0553820978246393,0.000197459356282499,49.6,-0.344237920374507,4.09140856049386,0.397444294216136,0.717854352185665,1.34721092131617
san jose del olivar,alvaro obregon,6,2545.16666666667,488103.666666667,0.455707762557078,0.230479614056141,0.000197459356282499,5.5,3.20148531626018,1.07494601273558,0.397444294216136,-0.175581636671979,1.32730193020756
molino del rey,miguel hidalgo,106,2593.2358490566,393834.924528302,0.422150426466787,0.190488282000619,0.000131639570854999,63.8679245283019,3.29858184896904,0.803010855637465,0.425843765239416,0.0284743435026362,1.32134143313036
lomas de chapultepec iv seccion (lomas virreyes),miguel hidalgo,18,2742.88888888889,508600.888888889,0.391780821917808,0.207788849578092,0.000131639570854999,20.7777777777778,3.60087097798274,0.556907793051876,0.425843765239416,-0.059801892700173,1.32054200581823
del maestro,azcapotzalco,6,687,193170,0.74337899543379,0.0545587458119785,0.000131639570854999,37.6666666666667,-0.551887043288645,3.40611800131227,0.425843765239416,0.722055510120064,1.08584914247898
san angel inn,alvaro obregon,6,2372.83333333333,391347.833333333,0.365296803652968,0.161424952526209,6.58197854274995e-05,32.6666666666667,2.85338351163435,0.342291959182911,0.454243236262695,0.176770133570467,1.08490531521181
