alcaldia_clean,colonia_clean,genero_delito_de_bajo_impacto_tasa,genero_violación_tasa,genero_homicidio_doloso_tasa,genero_lesiones_dolosas_por_disparo_de_arma_de_fuego_tasa,genero_secuestro_tasa,genero_total_tasa
alvaro obregon,19 de mayo,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,1a ampliacion presidentes,0.000372547396307641,0,0,0,0,0.000355759348565104
alvaro obregon,1a victoria,0.000538124016888815,0.00102040816326531,0,0,0,0.000553403431101273
alvaro obregon,1er reacomodo corpus christi,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,2a ampliacion el piru,0.000248364930871761,0.00102040816326531,0,0,0,0.000276701715550636
alvaro obregon,2a ampliacion jalalpa el grande,0.000786488947760576,0.00204081632653061,0,0,0,0.000830105146651909
alvaro obregon,2a ampliacion jalalpa tepito,0.000579518172034109,0,0.0101010101010101,0,0,0.000592932247608507
alvaro obregon,2a ampliacion la mexicana,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,2a ampliacion presidentes,0.000579518172034109,0.00102040816326531,0,0,0,0.000592932247608507
alvaro obregon,2a seccion canada,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,2o reacomodo corpus christi,0.000165576620581174,0.00102040816326531,0,0,0,0.000197644082536169
alvaro obregon,2o reacomodo tlacuitlapa,0.000372547396307641,0,0,0,0,0.000355759348565104
alvaro obregon,abraham m gonzalez,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,acueducto,0.000496729861743522,0.00102040816326531,0.0101010101010101,0,0,0.000553403431101273
alvaro obregon,acuilotla,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,agricola / ex-hacienda de guadalupe chimalistac,0.000165576620581174,0,0,0,0,0.000158115266028935
alvaro obregon,alcantarilla,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,alfalfar,0.000289759086017054,0,0,0,0,0.000276701715550636
alvaro obregon,alfonso xiii,0.000620912327179402,0.00204081632653061,0,0,0,0.000671989880622974
alvaro obregon,altavista,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,ampliacion alpes,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,ampliacion estado de hidalgo,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,ampliacion jalalpa,0.000165576620581174,0,0,0,0,0.000158115266028935
alvaro obregon,ampliacion la cebada,0.000248364930871761,0,0,0,0,0.000237172899043403
alvaro obregon,ampliacion lomas de santo domingo,0.000165576620581174,0,0,0,0,0.000158115266028935
alvaro obregon,ampliacion molino de rosas,0.00111764218892292,0,0,0,0,0.00106727804569531
alvaro obregon,ampliacion piloto adolfo lopez mateos,0.000910671413196457,0,0,0,0,0.000869633963159143
alvaro obregon,ampliacion tepeaca,0.000248364930871761,0.00102040816326531,0,0,0,0.000276701715550636
alvaro obregon,ampliacion tlacuitlapa,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,ampliacion tlacuitlapa ii,4.13941551452935e-05,0.00102040816326531,0,0,0,7.90576330144675e-05
alvaro obregon,arcos centenario,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,arturo martinez,0.000455335706598228,0,0,0,0,0.000434816981579572
alvaro obregon,arvide,0.000662306482324696,0.00102040816326531,0,0,0,0.000671989880622974
alvaro obregon,atlamaxac,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,atlamaya,0,0.00102040816326531,0,0,0,3.95288165072338e-05
alvaro obregon,ave real,0.000206970775726467,0,0,0,0,0.000197644082536169
alvaro obregon,axotla,0.000662306482324696,0.00102040816326531,0,0,0,0.000671989880622974
alvaro obregon,balcones de cehuayo,0.000372547396307641,0,0,0,0,0.000355759348565104
alvaro obregon,barrio norte,0.00149018958523057,0,0.0101010101010101,0,0,0.00146256621076765
alvaro obregon,bejero del pueblo santa fe,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,belem de las flores,0.000289759086017054,0,0,0,0,0.000276701715550636
alvaro obregon,belen de las flores seccion cuchilla,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,bellavista,0.00103485387863234,0,0,0,0,0.000988220412680844
alvaro obregon,bonanza,0.000331153241162348,0,0,0,0,0.00031623053205787
alvaro obregon,bosque,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,bosques 2a seccion,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,bosques de tarango,0.000165576620581174,0,0,0,0,0.000158115266028935
alvaro obregon,calzada jalalpa,0.000413941551452935,0,0,0,0,0.000395288165072338
alvaro obregon,camino real de tetelpan,4.13941551452935e-05,0.00102040816326531,0,0,0,7.90576330144675e-05
alvaro obregon,campestre,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,canada,0.000165576620581174,0,0,0,0,0.000158115266028935
alvaro obregon,canutillo,0.000206970775726467,0,0,0,0,0.000197644082536169
alvaro obregon,canutillo 3a seccion,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,carlos a madrazo,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,casa del agronomo,0,0,0.0101010101010101,0,0,3.95288165072338e-05
alvaro obregon,cedros santa lucia,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,cehuaya,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,chimalistac,0.00012418246543588,0.00102040816326531,0,0,0,0.000158115266028935
alvaro obregon,colina del sur,0.00082788310290587,0,0,0,0,0.000790576330144676
alvaro obregon,colinas de tarango,0.000206970775726467,0,0,0,0,0.000197644082536169
alvaro obregon,corpus christy,0.00103485387863234,0.00102040816326531,0,0,0,0.00102774922918808
alvaro obregon,cove,0.000331153241162348,0,0,0,0,0.00031623053205787
alvaro obregon,cristo rey,0.000662306482324696,0,0,0,0,0.00063246106411574
alvaro obregon,cuevitas,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,desarrollo urbano el piru,0.000620912327179402,0.00408163265306122,0,0,0,0.000751047513637442
alvaro obregon,el arbol ampliacion,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,el capulin,0.000248364930871761,0,0,0,0,0.000237172899043403
alvaro obregon,el cuernito,0.000413941551452935,0,0,0,0,0.000395288165072338
alvaro obregon,el encino del pueblo tetelpan,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,el piru santa fe,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,el pocito,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,el rodeo,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,el ruedo,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,el tejocote,0.000165576620581174,0.00102040816326531,0,0,0,0.000197644082536169
alvaro obregon,ermita tizapan,0.000206970775726467,0,0,0,0,0.000197644082536169
alvaro obregon,estado de hidalgo,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,estado de hidalgo i,4.13941551452935e-05,0.00102040816326531,0,0,0,7.90576330144675e-05
