ID,ID_CI,ct_inicio,impacto,delito,modalidad_delito,fecha,calle1_hechos,calle2_hechos,colonia_hechos,alcaldia_hechos,ct_hechos,cord_x,cord_y,
1,9881574,COY-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,REY MOCTEZUMA,SIN REGISTRO,AJUSCO,COYOACAN,COY-4,-99.15758455,19.32890745,
2,9881589,59,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,01/01/2025,SUR 141,NO SE ESPECIFICA,AMPLIACIÓN GABRIEL RAMOS MILLÁN,IZTACALCO,IZC-2,-99.09850259,19.39042177,
3,9881594,CJM-IZP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,28/12/2024,JAZMIN,SIN REGISTRO,LOMAS DE SAN LORENZO,IZTAPALAPA,IZP-8,-99.05916901,19.31661583,
4,9881595,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,HILARIO ELGUERA,SIN REGISTRO,SAN MIGUEL,IZTACALCO,IZC-1,-99.1153277,19.39305887,
5,9881599,COY-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,24/12/2024,TECACALO,SIN REGISTRO,ADOLFO RUIZ CORTINES,COYOACAN,COY-4,-99.14638025,19.31853912,
6,9881604,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,31/12/2024,NORTE 58 A,ORIENTE 91,MÁRTIRES DE RÍO BLANCO,GUSTAVO A MADERO,GAM-7,-99.11560229,19.46222589,
7,9881608,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,SAN LUIS,SIN REGISTRO,CORPUS CHRISTY,ALVARO OBREGON,AO-2,-99.2483514,19.35861139,
8,9881616,TLH-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,TERCER CALLEJON DE EMILIANO ZAPATA,SIN REGISTRO,LOS REYES,TLAHUAC,TLH-2,-99.0059029,19.26626482,
9,9881620,UAT-CUJ-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,28/12/2024,VERACRUZ,OCAMPO,CUAJIMALPA,CUAJIMALPA DE MORELOS,CJ-1,-99.29888829,19.35425756,
10,9881622,H1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,LESIONES INTENCIONALES POR GOLPES,01/01/2025,CAMINO DEL EXITO A,SIN REGISTRO,CAMPESTRE ARAGÓN,GUSTAVO A MADERO,GAM-5,-99.08029005,19.48698007,
11,9881648,AO-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,CEDROS,NO SE ESPECIFICA,MINA LOS COYOTES,ALVARO OBREGON,AO-2,-99.21962623,19.36016829,
12,9881650,UAT-IZC-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,SEPTIMA AZFRAN,GOMA,GRANJAS MÉXICO,IZTACALCO,IZC-2,-99.10427552,19.4026052,
13,9881652,59,ALTO IMPACTO,VIOLACIÓN,VIOLACION EQUIPARADA,31/01/2024,ORIENTE 172,SIN REGISTRO,MOCTEZUMA 2A SECCIÓN,VENUSTIANO CARRANZA,VC-2,-99.09351249,19.42933862,
14,9881654,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,30/12/2024,GUILLERMO PRIETO,SIN REGISTRO,JAMAICA,VENUSTIANO CARRANZA,VC-3,-99.1229682,19.40687479,
15,9881658,IZP-8,BAJO IMPACTO,DELITO DE BAJO IMPACTO,LESIONES INTENCIONALES POR GOLPES,29/12/2024,CERRADA DEL MOLINO,SIN REGISTRO,LA PLANTA,IZTAPALAPA,IZP-8,-99.06589866,19.29327293,
16,9881663,UAT-BJ-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,TULTEPEC,NO SE ESPECIFICA,SAN ANDRÉS TETEPILCO,IZTAPALAPA,IZP-1,-99.13646371,19.37002797,
17,9881676,59,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,01/01/2025,SEGUNDA SAN SIMON,SIN REGISTRO,SAN SIMÓN TOLNAHUAC,CUAUHTEMOC,CUH-1,-99.14405226,19.46023064,
18,9881706,BJ-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,ASTURIAS,NO SE ESPECIFICA,ÁLAMOS,BENITO JUAREZ,BJ-3,-99.14024119,19.3967182,
19,9881717,UAT-IZC-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,MIGUEL GARCIA,SIN REGISTRO,LOS PICOS DE IZTACALCO SECCIÓN 1A,IZTACALCO,IZC-1,-99.11268952,19.38970173,
20,9881729,UAT-XO-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,CHAMILPA,NO SE ESPECIFICA,BARRIO SAN JOSÉ,XOCHIMILCO,XO-2,-99.03516076,19.24967695,
21,9881730,CJM-AZ,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,AVENIDA HORACIO,SIN REGISTRO,POLANCO,MIGUEL HIDALGO,MH-4,-99.18482975,19.43387705,
22,9881738,UAT-MC-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,12/12/2024,TOCHIHUEHUE,SIN REGISTRO,EL OCOTAL,LA MAGDALENA CONTRERAS,MC-2,-99.25979171,19.29946533,
23,9881745,CJM-TLP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,LUIS ECHEVERRIA,SIN REGISTRO,1A AMPLIACIÓN PRESIDENTES,ALVARO OBREGON,AO-2,-99.22154254,19.3788319,
24,9881751,59,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,01/01/2025,AVENIDA OCEANIA,AVENIDA RIO CONSULADO,AQUILES SERDÁN,VENUSTIANO CARRANZA,VC-2,-99.08867489,19.44487098,
25,9881764,UAT-AO-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,JUCHIQUE,NO SE ESPECIFICA,2A AMPLIACIÓN JALALPA TEPITO,ALVARO OBREGON,AO-2,-99.2280676,19.37802933,
26,9881768,D,ALTO IMPACTO,HOMICIDIO DOLOSO,HOMICIDIO POR ARMA DE FUEGO,01/01/2025,ROSALIO BUSTAMANTE,NO SE ESPECIFICA,SANTA MARTHA ACATITLA SUR,IZTAPALAPA,IZP-6,-99.02337626,19.37605954,
27,9881769,UAT-MC-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2024,ANDADOR DURAZNOS,SIN REGISTRO,EL TANQUE,LA MAGDALENA CONTRERAS,MC-1,-99.25134288,19.32461005,
28,9881783,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,PASEO DE LOS TAMARINDO,SIN REGISTRO,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,CJ-2,-99.24914039,19.39145936,
29,9881788,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,FELIPE CARRILLO,NO SE ESPECIFICA,POPOTLA,MIGUEL HIDALGO,MH-1,-99.17262511,19.45050007,
30,9881794,AZ-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,PRIVADA AQUILES SERDAN,NO SE ESPECIFICA,SANTO DOMINGO,AZCAPOTZALCO,AZ-1,-99.19101537,19.48800766,
31,9881793,CJM-IZP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,MANUEL GANDARA,NO SE ESPECIFICA,SANTA MARTHA ACATITLA SUR,IZTAPALAPA,IZP-6,-99.02134715,19.36365805,
32,9881796,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,DIAGONAL DE CANTERA,NO SE ESPECIFICA,SAN JUAN Y GUADALUPE TICOMÁN,GUSTAVO A MADERO,GAM-2,-99.12625544,19.51916082,
33,9881805,UAT-TLP-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,KANTUNIL,ACANCEH,PEDREGAL DE SAN NICOLÁS 2A SECCIÓN,TLALPAN,TLP-1,-99.23774706,19.29034609,
34,9881807,FDS-7,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,01/01/2025,CERRADA 5 HUITZTLI,NO SE ESPECIFICA,SAN LORENZO HUIPULCO,TLALPAN,TLP-4,-99.14965021,19.29493791,
35,9881810,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2024,DINARES,SIN REGISTRO,SIMÓN BOLÍVAR,VENUSTIANO CARRANZA,VC-2,-99.09779544,19.44672452,
36,9881817,FDS-5,ALTO IMPACTO,VIOLACIÓN,VIOLACION,02/01/2025,LA ROSA,SIN REGISTRO,SANTIAGO NORTE,TLAHUAC,TLH-1,-99.02994477,19.30027059,
37,9881842,CJM-AZ,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,BELISARIO DOMINGUEZ,SIN REGISTRO,MALACATES,GUSTAVO A MADERO,GAM-1,-99.13539305,19.57563498,
38,9881844,IZP-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,04/07/2024,11 DE ENERO DE 1861,NO SE ESPECIFICA,LEYES DE REFORMA 3A SECCIÓN,IZTAPALAPA,IZP-4,-99.06602172,19.37687543,
39,9881882,59,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,19/12/2024,MEXICO,SIN REGISTRO,SAN MARCOS,XOCHIMILCO,XO-1,-99.11199826,19.2633521,
40,9881883,IZP-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,16/12/2024,ANTONIO CARDENAS,NO SE ESPECIFICA,ESCUADRÓN 201,IZTAPALAPA,IZP-1,-99.11404283,19.36427385,
41,9881884,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,CHILPANCINGO,SIN REGISTRO,HIPÓDROMO,CUAUHTEMOC,CUH-7,-99.16919838,19.40536631,
42,9881905,CJM-TLP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,30/12/2024,RINCONADA LA GALLERA,SIN REGISTRO,SANTA CRUZ ACALPIXCA - PUEBLO,XOCHIMILCO,XO-2,-99.07113869,19.25140492,
43,9881918,IZP-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,PRIMERA  CDA  DEL RETOÑO,NO SE ESPECIFICA,EL RETOÑO,IZTAPALAPA,IZP-1,-99.12470288,19.37035264,
44,9881925,TLH-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,AGUSTIN CAMARENA,EMILIO LAURENT,SANTIAGO SUR,TLAHUAC,TLH-1,-99.03535484,19.29274214,
45,9881964,UAT-AO-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,30/12/2024,DEGOLLADO,AURELIANO RIVERA,PROGRESO TIZAPAN,ALVARO OBREGON,AO-4,-99.20451078,19.33527097,
46,9881975,UAT-TLP-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,5 HUIZTLI,SIN REGISTRO,SAN LORENZO HUIPULCO,TLALPAN,TLP-3,-99.15143181,19.2937306,
47,9882000,GAM-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,25/12/2024,VOLCAN SAN ANDRES TUXTLA,VOLCAN POPOCATEPETL,AMPLIACIÓN PROVIDENCIA,GUSTAVO A MADERO,GAM-5,-99.06815118,19.47835476,
48,9882010,GAP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,28/12/2024,XOCHICALCO,SIN REGISTRO,LETRÁN VALLE,BENITO JUAREZ,BJ-4,-99.15688452,19.37861172,
49,9882026,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,CANAL DEL  MORAL,SIN REGISTRO,LEYES DE REFORMA 3A SECCIÓN,IZTAPALAPA,IZP-4,-99.0684877,19.37409511,
50,9882035,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,18/12/2024,AVENIDA TLAHUAC,SIN REGISTRO,AREA FEDERAL PANTEON SAN LORENZO TEZONCO,IZTAPALAPA,IZP-8,-99.06489804,19.30795801,
51,9882039,CJM-TLP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,29/12/2024,POPOCATEPETL,SIN REGISTRO,SANTA CRUZ ATOYAC,BENITO JUAREZ,BJ-4,-99.15471843,19.36303486,
52,9882044,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,LAGO FONTANA,SIN REGISTRO,ARGENTINA PONIENTE,MIGUEL HIDALGO,MH-1,-99.20462695,19.45715704,
53,9882045,UAT-TLH-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,31/12/2024,CRATER ATLAS,MAR DE LA SERENIDAD,SELENE 1A. SECCION,TLAHUAC,TLH-2,-98.99877755,19.29533973,
54,9882053,CJM-IZP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,09/09/2024,TLAHUAC,SIN REGISTRO,AÑO DE JUÁREZ,IZTAPALAPA,IZP-8,-99.07304601,19.317321,
55,9882057,FDS-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,02/01/2024,CONFIDENCIAL,NO SE ESPECIFICA,SAN BARTOLO AMEYALCO,ALVARO OBREGON,AO-3,-99.27028551,19.32600626,
56,9882059,IZP-6,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,BRIGADA CARBAJAL,SIN REGISTRO,EJERCITO DE ORIENTE ZONA PEÑON,IZTAPALAPA,IZP-6,-99.02469917,19.36752811,
57,9882065,GAP4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,07/12/2024,FERROCARRIL HIDALGO,SIN REGISTRO,SANTIAGO ATZACOALCO,GUSTAVO A MADERO,GAM-4,-99.09282222,19.50010574,
58,9882066,UAT-AO-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,31/12/2024,PRESA TACUBAYA,SIN REGISTRO,LIBERALES DE 1857,ALVARO OBREGON,AO-1,-99.21114215,19.39371267,
59,9882069,CJM-AZ,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,24/12/2024,GUILLERMO MASSIEU HERGUERA,NO SE ESPECIFICA,LA PURÍSIMA TICOMÁN,GUSTAVO A MADERO,GAM-2,-99.13887436,19.51379567,
60,9882084,UAT-XO-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2024,CONSTITUCION,NO SE ESPECIFICA,SAN FRANCISCO TLALNEPANTLA,XOCHIMILCO,XO-1,-99.12414698,19.19394044,
61,9882095,FDS-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,CONTRA LA INTIMIDAD SEXUAL,01/01/2025,VUNUSTIANO CARRANZA,NO SE ESPECIFICA,CUAUTEPEC DE MADERO,GUSTAVO A MADERO,GAM-1,-99.13808497,19.55101415,
62,9882098,CJM-IZP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,SAUCE,NO SE ESPECIFICA,SAN MIGUEL TEOTONGO,IZTAPALAPA,IZP-10,-98.99147829,19.3391116,
63,9882100,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2024,HERIBERTO FRIAS,NO SE ESPECIFICA,NARVARTE,BENITO JUAREZ,BJ-3,-99.15946792,19.38678211,
64,9882102,FDS-7,ALTO IMPACTO,VIOLACIÓN,VIOLACION,23/09/2016,LEON LOYOLA,NO SE ESPECIFICA,UNIDAD EJÉRCITO CONSTITUCIONALISTA,IZTAPALAPA,IZP-6,-99.04705764,19.3902412,
65,9882114,CJM-AZ,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,PARAISO,NO SE ESPECIFICA,ZONA ESCOLAR ORIENTE,GUSTAVO A MADERO,GAM-1,-99.14312671,19.53918471,
66,9882124,FDS-6,BAJO IMPACTO,DELITO DE BAJO IMPACTO,CONTRA LA INTIMIDAD SEXUAL,19/10/2024,DOMICILIO PARTICULAR,NO SE ESPECIFICA,SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,CJ-2,-99.28304291,19.34278621,
67,9882126,UAT-IZC-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,SECCION REDES,SIN REGISTRO,INFONAVIT IZTACALCO,IZTACALCO,IZC-2,-99.1062331,19.38212713,
68,9882133,UAT-TLP-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,CERRADA 5 HUIZTLI,NO SE ESPECIFICA,SAN LORENZO HUIPULCO,TLALPAN,TLP-3,-99.15047867,19.293205,
69,9882140,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,31/12/2024,EJIDO DE HUIPULCO,SIN REGISTRO,AMPLIACION SAN FRANCISCO CULHUACAN,COYOACAN,COY-3,-99.12351782,19.33041679,
70,9882144,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,HERMAN J MULLER,NO SE ESPECIFICA,INPI PICOS,IZTACALCO,IZC-2,-99.10504522,19.38821082,
71,9882156,UAT-MH-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,LAGO PATZCUARO,MARINA NACIONAL,ANAHUAC,MIGUEL HIDALGO,MH-1,-99.17367304,19.43882871,
72,9882162,UAT-IZC-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,SEPTIMA CERRADA AZAFRAN,SIN REGISTRO,GRANJAS MÉXICO,IZTACALCO,IZC-2,-99.10322247,19.40049624,
73,9882163,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,08/11/2024,1RA ACUEDUCTO,NO SE ESPECIFICA,ACUEDUCTO,ALVARO OBREGON,AO-1,-99.20138543,19.39834117,
74,9882165,UAT-TLH-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,CRATER ATLAS,MAR DE LA SERENIDAD,SELENE 1A. SECCION,TLAHUAC,TLH-2,-99.00003366,19.29629358,
75,9882167,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,23/12/2024,ANDADOR TEPANO,NO SE ESPECIFICA,JARDINES DE LA PALMA,CUAJIMALPA DE MORELOS,CJ-1,-99.28031701,19.37042231,
76,9882172,TLP-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,XAXALCO,NO SE ESPECIFICA,SAN MIGUEL TOPILEJO,TLALPAN,TLP-3,-99.14135264,19.19185333,
77,9882177,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,THEUTLI,NO SE ESPECIFICA,LOS REYES,TLAHUAC,TLH-2,-99.01964795,19.26560692,
78,9882178,UAT-GAM-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2024,MIXCOATL,NO SE ESPECIFICA,SANTA ISABEL TOLA,GUSTAVO A MADERO,GAM-4,-99.11271968,19.50128795,
79,9882184,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,NORTE 64 A,NO SE ESPECIFICA,MÁRTIRES DE RÍO BLANCO,GUSTAVO A MADERO,GAM-7,-99.11229524,19.45773081,
80,9882202,UAT-CUH-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,TALABARTEROS,HOJALATERIA,EMILIO CARRANZA,VENUSTIANO CARRANZA,VC-1,-99.11986866,19.44829103,
81,9882205,GAM-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,LESIONES INTENCIONALES POR GOLPES,02/01/2025,COLECTOR 13,RIOBAMBA,MAGDALENA DE LAS SALINAS,GUSTAVO A MADERO,GAM-3,-99.13121411,19.48688078,
82,9882215,UAT-GAM-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,CERRADA PEDRO NEGRETE,NO SE ESPECIFICA,SAN JUAN DE ARAGÓN,GUSTAVO A MADERO,GAM-8,-99.08803144,19.4700309,
83,9882217,59,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,12/11/2024,TETECHICO,SIN REGISTRO,EL MANTO,IZTAPALAPA,IZP-7,-99.08113525,19.35048811,
84,9882223,UAT-AO-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,HALCONES,NO SE ESPECIFICA,LOMAS DE GUADALUPE,ALVARO OBREGON,AO-3,-99.24528421,19.34162298,
85,9882231,GAM-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,VOLCAN TLAJUMULCO AMBAS CALLES SON PARALELAS,VOLVAN DE QUETZALTENANGO,AMPLIACIÓN PROVIDENCIA,GUSTAVO A MADERO,GAM-5,-99.06815118,19.47835476,
86,9882234,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,ACANCEH,NO SE ESPECIFICA,JARDINES DEL AJUSCO,TLALPAN,TLP-2,-99.21704348,19.29098047,
87,9882239,UAT-VC-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,PUEBLA,SIN REGISTRO,PEÑÓN DE LOS BAÑOS,VENUSTIANO CARRANZA,VC-2,-99.07889247,19.44141401,
88,9882245,CJM-TLP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,RICARDO FLORES MAGON,SIN REGISTRO,MIGUEL HIDALGO 3A SECCIÓN,TLALPAN,TLP-2,-99.20753903,19.27800584,
89,9882247,UAT-BJ-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,ANAXAGORAS,SIN REGISTRO,NARVARTE,BENITO JUAREZ,BJ-3,-99.15951283,19.38308109,
90,9882257,FDS-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,CONTRA LA INTIMIDAD SEXUAL,02/01/2025,SE IGNORAN CALLES,SIN REGISTRO,LOMAS DE LA ERA,ALVARO OBREGON,AO-3,-99.26406317,19.32093137,
91,9882259,UAT-AZ-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,ANDADOR GONDOLA NUMERO,SIN REGISTRO,ESTACIÓN PANTACO,AZCAPOTZALCO,AZ-3,-99.17290575,19.48206035,
92,9882265,FDS-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,02/01/2024,606 AMBAS CALLES SON HORIZONTALES,AV 608,SAN JUAN DE ARAGÓN IV SECCIÓN,GUSTAVO A MADERO,GAM-8,-99.05911368,19.45718635,
93,9882269,UAT-TLP-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,02/01/2025,CERRO DEL XITLE,SIN REGISTRO,TLALMILLE,TLALPAN,TLP-2,-99.18646569,19.26068361,
94,9882270,CJM-AZ,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,28/12/2024,MARIANO SALAS,SIN REGISTRO,DINAMITA,GUSTAVO A MADERO,GAM-4,-99.10331448,19.49029161,
95,9882287,UAT-VC-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,CONTRA LA INTIMIDAD SEXUAL,01/01/2025,BOULEVARD PUERTO AEREO,SIN REGISTRO,MOCTEZUMA 2A SECCIÓN,VENUSTIANO CARRANZA,VC-2,-99.09240307,19.43086715,
96,9882300,COY-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,CERRADA PINAL,TECUATL NO SE ENCUENTRA,ADOLFO RUIZ CORTINES,COYOACAN,COY-4,-99.14789273,19.32366338,
97,9882325,UAT-COY-5,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,18/11/2024,J,SIN REGISTRO,ALIANZA POPULAR REVOLUCIONARIA,COYOACAN,COY-5,-99.12057805,19.31354693,
98,9882344,UAT-TLH-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,JOSE S DE LA SOTA,SIN REGISTRO,SAN MIGUEL ZAPOTITLA,TLAHUAC,TLH-1,-99.04150378,19.30759231,
99,9882367,IZC-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,03/01/2024,CALZADA DE LA VIGA,SIN REGISTRO,CAMPAMENTO 2 DE OCTUBRE,IZTACALCO,IZC-1,-99.12112432,19.38362466,
100,9882370,FDS-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,CONTRA LA INTIMIDAD SEXUAL,24/12/2024,SE IGNORAN CALLES,SIN REGISTRO,2A AMPLIACIÓN PRESIDENTES,ALVARO OBREGON,AO-2,-99.22753319,19.37348927,
101,9882373,GAP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,25/11/2024,CALZADA DE TLALPAN,SIN REGISTRO,SAN SIMÓN TICUMAC,BENITO JUAREZ,BJ-4,-99.14212548,19.37448651,
102,9882393,UAT-BJ-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,LESIONES INTENCIONALES POR GOLPES,02/01/2025,RIO CHURUBUSCO,UNIVERSIDAD,XOCO,BENITO JUAREZ,BJ-4,-99.16745085,19.35875036,
103,9882402,UAT-TLH-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,02/01/2025,SANTA CRUZ,NO SE ESPECIFICA,SANTA ANA PONIENTE,TLAHUAC,TLH-1,-99.04887491,19.30888523,
104,9882405,IZP-9,ALTO IMPACTO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,LESIONES INTENCIONALES POR ARMA DE FUEGO,02/01/2025,FERMIN ESPINOZA,GASTON SANTOS,SAN MIGUEL TEOTONGO,IZTAPALAPA,IZP-10,-98.98653173,19.34216275,
105,9882410,IZP-6,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/01/2025,GENERAL FELIPE DE LA GARZA,NO SE ESPECIFICA,JUAN ESCUTIA,IZTAPALAPA,IZP-6,-99.03276571,19.38820625,
