ID,ID_CI,ct_inicio,impacto,delito,modalidad_delito,fecha,calle1_hechos,calle2_hechos,colonia_hechos,alcaldia_hechos,ct_hechos,cord_x,cord_y,
12611,9966670,UAT-TLH-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,08/05/2025,SIN REGISTRO,NO SE ESPECIFICA,SIN REGISTRO,SIN REGISTRO,CDMX-0,SIN REGISTRO,SIN REGISTRO,
12612,9966690,CJM-IZP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,09/05/2025,GALAXIA,SIN REGISTRO,XALPA,IZTAPALAPA,IZP-10,-99.01731019,19.33877982,
12613,9966699,UAT-AZ-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,08/05/2025,MORELOS,SIN REGISTRO,SAN MIGUEL AMANTLA,AZCAPOTZALCO,AZ-2,-99.2075279,19.4767333,
12614,9966718,UAT-BJ-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,7 SUR MUNCIPIO LIBRE,SIN REGISTRO,PORTALES SUR,BENITO JUAREZ,BJ-4,-99.15152195,19.37043222,
12615,9966725,FDS-7,ALTO IMPACTO,VIOLACIÓN,VIOLACION,09/05/2025,REVOLUCION,SIN REGISTRO,SAN JUAN,BENITO JUAREZ,BJ-1,-99.18647517,19.37850794,
12616,9966745,59,ALTO IMPACTO,VIOLACIÓN,VIOLACION EQUIPARADA POR CONOCIDO,09/05/2025,DAMIANA,SIN REGISTRO,PREDIO EL MOLINO,IZTAPALAPA,IZP-8,-99.06877206,19.29115095,
12617,9966762,FDS-5,BAJO IMPACTO,DELITO DE BAJO IMPACTO,CONTRA LA INTIMIDAD SEXUAL,09/05/2025,BATALLONES ROJOS,SIN REGISTRO,ALBARRADA,IZTAPALAPA,IZP-4,-99.06196309,19.35386341,
12618,9966775,UAT-GAM-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,27/04/2025,HUATUSCO,NO SE ESPECIFICA,ROMA SUR,CUAUHTEMOC,CUH-7,-99.16826134,19.40166801,
12619,9966776,UAT-MC-1,ALTO IMPACTO,VIOLACIÓN,VIOLACION EQUIPARADA,28/04/2025,PROLONGACION EMILIANO ZAPATA,FRANCISCO VILLA,LA MALINCHE,LA MAGDALENA CONTRERAS,MC-1,-99.24041207,19.3237578,
12620,9966782,UAT-CUH-7,BAJO IMPACTO,DELITO DE BAJO IMPACTO,LESIONES INTENCIONALES,06/05/2025,JALAPA,AGUAS CALIENTES,CENTRO URBANO BENITO JUÁREZ,CUAUHTEMOC,CUH-7,-99.15978402,19.40975322,
12621,9966788,UAT-TLP-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,09/05/2025,BOULEVARD ADOLFO RUIZ CORTINES,NO SE ESPECIFICA,PARQUE DEL PEDREGAL,TLALPAN,TLP-2,-99.18823126,19.30113579,
12622,9966791,UAT-BJ-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,05/05/2025,SAN FERNANDO,NO SE ESPECIFICA,GUERRERO,CUAUHTEMOC,CUH-2,-99.14837687,19.43986869,
