ID,ID_CI,ct_inicio,impacto,delito,modalidad_delito,fecha,calle1_hechos,calle2_hechos,colonia_hechos,alcaldia_hechos,ct_hechos,cord_x,cord_y
1,9881544,IZP-9,ALTO IMPACTO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,LESIONES INTENCIONALES POR ARMA DE FUEGO,31/12/2024,HOSPITAL GENERAL DE IZTAPALAPA,SIN REGISTRO,SIN REGISTRO,IZTAPALAPA,FIIZP-0,SIN REGISTRO,SIN REGISTRO
2,9881555,GAM-2,ALTO IMPACTO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,LESIONES INTENCIONALES POR ARMA DE FUEGO,01/01/2025,JOSE A CLAVE,PAGANINI,VALLEJO,GUSTAVO A MADERO,GAM-6,-99.13387924,19.46616991
3,9881564,UAT-AO-4,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,01/01/2025,PELICANO,SIN REGISTRO,GRANJAS MODERNAS,GUSTAVO A MADERO,GAM-7,-99.10292655,19.47661389
4,9881579,FDS-7,ALTO IMPACTO,VIOLACIÓN,VIOLACION,06/09/2023,AVENUDA ARTEAGA Y SALAZAR,SIN REGISTRO,CONTADERO,CUAJIMALPA DE MORELOS,CJ-2,-99.30842727,19.33951859
5,9881629,IZP-6,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,01/01/2025,CERRADA JARRITO,SIN REGISTRO,LOMAS DE LA ESTANCIA,IZTAPALAPA,IZP-10,-99.00555083,19.33484067
6,9881630,TLP-3,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,01/01/2025,CIRCUITO PICACHO,CAMINO VIEJO A SAN ANDRES,SAN MIGUEL AJUSCO,TLALPAN,TLP-2,-99.21927273,19.23224401
7,9881638,UAT-TLH-1,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,30/12/2024,LA TURBA,BOHEMIA,MIGUEL HIDALGO,TLAHUAC,TLH-1,-99.04856488,19.28717146
8,9881652,59,ALTO IMPACTO,VIOLACIÓN,VIOLACION EQUIPARADA,31/01/2024,ORIENTE 172,SIN REGISTRO,MOCTEZUMA 2A SECCIÓN,VENUSTIANO CARRANZA,VC-2,-99.09351249,19.42933862
9,9881701,UAT-GAM-3,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,31/12/2024,PONIENTE 134,SIN REGISTRO,NUEVA VALLEJO,GUSTAVO A MADERO,GAM-3,-99.14905143,19.49118932
10,9881768,D,ALTO IMPACTO,HOMICIDIO DOLOSO,HOMICIDIO POR ARMA DE FUEGO,01/01/2025,ROSALIO BUSTAMANTE,NO SE ESPECIFICA,SANTA MARTHA ACATITLA SUR,IZTAPALAPA,IZP-6,-99.02337626,19.37605954
11,9881773,CUH-2,ALTO IMPACTO,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,01/01/2025,DOCTOR OLVERA,NIÑOS HEROES,DOCTORES,CUAUHTEMOC,CUH-8,-99.15070139,19.41561522
12,9881774,ORIENTEII,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,11/08/2023,DIVISION DEL NORTE,NO SE ESPECIFICA,GENERAL PEDRO MARIA ANAYA,BENITO JUAREZ,BJ-4,-99.15403327,19.36060487
13,9881786,AZ-2,ALTO IMPACTO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,LESIONES INTENCIONALES POR ARMA DE FUEGO,01/01/2025,FORTUNATO ZUAZUA,VICTOR HERNANDEZ COVARUBIAS,SAN JUAN TLIHUACA,AZCAPOTZALCO,AZ-2,-99.20457691,19.49292335
14,9881790,VC-3,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,01/01/2025,EJE UNO NTE AV MANURL LEBRIJA,NO SE ESPECIFICA,AMPLIACION ADOLFO LOPEZ MATEOS,VENUSTIANO CARRANZA,VC-5,-99.07415593,19.4152335
15,9881809,UAT-IZC-2,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,01/01/2024,CUAUHTEMOC,JUANA DE ARCO,SAN PEDRO,IZTACALCO,IZC-1,-99.12762726,19.39436573
16,9881817,FDS-5,ALTO IMPACTO,VIOLACIÓN,VIOLACION,02/01/2025,LA ROSA,SIN REGISTRO,SANTIAGO NORTE,TLAHUAC,TLH-1,-99.02994477,19.30027059
17,9881819,UAT-MC-2,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,02/01/2025,MALVA,BUGAMBILIA,EL TORO,LA MAGDALENA CONTRERAS,MC-1,-99.24457625,19.311526
18,9881827,TLP-3,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,02/01/2025,BEKAL,SINANCHE,LOMAS DE PADIERNA,TLALPAN,TLP-1,-99.22580492,19.29314894
19,9881898,UAT-COY-5,ALTO IMPACTO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,LESIONES INTENCIONALES POR ARMA DE FUEGO,01/01/2025,20,5,JOSÉ LÓPEZ PORTILLO,IZTAPALAPA,IZP-8,-99.08261921,19.30730365
20,9881932,AO-2,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,02/01/2025,MARTIRES DE CANANEA,SIN REGISTRO,LIBERACIÓN PROLETARIA,ALVARO OBREGON,AO-2,-99.22947485,19.38095273
21,9881973,UAT-AZ-4,ALTO IMPACTO,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,10/12/2024,CALZADA SANTO TOMAS,AV DE LAS GRANJAS,SANTO TOMAS,AZCAPOTZALCO,AZ-3,-99.17528585,19.48434528
22,9881977,CUH-4,ALTO IMPACTO,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,01/01/2024,PINO SUAREZ,EXPLANADA DEL METRO,CENTRO,CUAUHTEMOC,CUH-4,-99.13302831,19.42556793
23,9881979,UAT-CUJ-1,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,01/01/2025,VERACRUZ,SIN REGISTRO,CUAJIMALPA,CUAJIMALPA DE MORELOS,CJ-1,-99.29980271,19.35534461
24,9882021,UAT-CUH-7,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,22/12/2024,DURANGO,SIN REGISTRO,ROMA NORTE,CUAUHTEMOC,CUH-7,-99.16992411,19.41909665
25,9882041,UAT-TLP-3,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,02/01/2025,NO PRECISA CALLE,SIN REGISTRO,SIN REGISTRO,TLALPAN,FITLP-0,SIN REGISTRO,SIN REGISTRO
26,9882047,CUH-4,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,02/01/2025,DEL CARMEN,SIN REGISTRO,CENTRO,CUAUHTEMOC,CUH-4,-99.1295426,19.43585294
27,9882048,UAT-MH-1,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,31/12/2024,CALZADA MEXICO TACUBA REFIERE LOS ALREDEDORES DEL MERCADO TACUBA,NO SE ESPECIFICA,TACUBA,MIGUEL HIDALGO,MH-1,-99.1863513,19.45896494
28,9882055,AZ-2,ALTO IMPACTO,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,02/01/2025,DE LAS GRANJAS,SALONICA,SECTOR NAVAL,AZCAPOTZALCO,AZ-3,-99.17594022,19.4709486
29,9882086,ORIENTEII,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,24/11/2024,CALI,NO SE ESPECIFICA,LINDAVISTA,GUSTAVO A MADERO,GAM-3,-99.12717372,19.48663239
30,9882087,IZP-6,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,02/01/2025,FELIPE DE LA GARZA,TRINIDAD SALGADO,JUAN ESCUTIA,IZTAPALAPA,IZP-6,-99.04928103,19.39622092
31,9882102,FDS-7,ALTO IMPACTO,VIOLACIÓN,VIOLACION,23/09/2016,LEON LOYOLA,NO SE ESPECIFICA,UNIDAD EJÉRCITO CONSTITUCIONALISTA,IZTAPALAPA,IZP-6,-99.04705764,19.3902412
32,9882105,IZP-9,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,31/12/2024,CALLE 5,SIN REGISTRO,AGRÍCOLA PANTITLAN,IZTACALCO,IZC-3,-99.06166747,19.40333254
33,9882106,UAT-MC-1,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,30/12/2024,AHUATLA,NO SE ESPECIFICA,LAS CRUCES,LA MAGDALENA CONTRERAS,MC-1,-99.25700337,19.32172131
34,9882158,AEJPA,ALTO IMPACTO,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,31/12/2024,ARCOS DE BELEN  METRO BALDERAS LINEA 1,NO SE ESPECIFICA,DOCTORES,CUAUHTEMOC,CUH-6,-99.1489023,19.42717227
35,9882183,IZP-9,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,26/12/2024,MORELIA,SIN REGISTRO,SAN MATEO (VILLA MILPA ALTA),MILPA ALTA,MIL-1,-99.030572,19.19404583
36,9882227,ORIENTEII,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,01/01/2025,ATIZAPAN DE ZARAGOZA,NO SE ESPECIFICA,SAN FELIPE DE JESÚS,GUSTAVO A MADERO,GAM-5,-99.0702948,19.49597772
37,9882235,UAT-VC-3,ALTO IMPACTO,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,31/12/2024,IGNACIO ZARAGOZA,NO SE ESPECIFICA,JARDÍN BALBUENA,VENUSTIANO CARRANZA,VC-3,-99.10992578,19.42651334
38,9882242,ORIENTEII,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PÚBLICO SIN VIOLENCIA,02/01/2024,PONIENTE 75,SUR 144,16 DE SEPTIEMBRE,MIGUEL HIDALGO,MH-5,-99.20641422,19.4021435
39,9882268,BJ-2,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA CON VIOLENCIA,02/01/2025,MONROVIA,SIN REGISTRO,PORTALES SUR,BENITO JUAREZ,BJ-4,-99.15096197,19.35925272
40,9882281,CEN-A,ALTO IMPACTO,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO SIN VIOLENCIA,12/12/2024,ANILLO PERIFERICO,SIN REGISTRO,CENTRO COMERCIAL PERISUR,COYOACAN,COY-1,-99.18950307,19.3027426
41,9882284,IZP-8,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,02/01/2025,CUAUHTEMOC,ALHELIES,JARDINES DE SAN LORENZO TEZONCO,IZTAPALAPA,IZP-8,-99.07076633,19.29775434
42,9882298,UAT-TLP-3,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,02/01/2025,AUTOPISTA MEXICO CUERNAVACA,SIN REGISTRO,SAN PEDRO MÁRTIR,TLALPAN,TLP-3,-99.16499591,19.26636429
43,9882302,VC-3,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,02/01/2025,DEL CARMEN,REPUBLICA DE BOLIVIA,CENTRO,CUAUHTEMOC,CUH-4,-99.12914246,19.43902759
44,9882312,CEN-A,ALTO IMPACTO,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,26/12/2024,EJE CENTRAL LAZARO CARDENAS,SIN REGISTRO,NUEVA VALLEJO,GUSTAVO A MADERO,GAM-3,-99.14454603,19.48945375
45,9882313,VC-3,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,02/01/2025,ROMA,SIN REGISTRO,JUÁREZ,CUAUHTEMOC,CUH-5,-99.15699327,19.42922562
46,9882326,CEN-A,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,25/12/2024,TOTONACAS,REY MECONETZIN,AJUSCO,COYOACAN,COY-4,-99.16006207,19.32145605
47,9882342,BJ-2,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,02/01/2025,FLAMINGOS,ACORDADA,SAN JOSÉ INSURGENTES,BENITO JUAREZ,BJ-1,-99.18491547,19.36744488
48,9882361,2,ALTO IMPACTO,HOMICIDIO DOLOSO,HOMICIDIO POR ARMA DE FUEGO,02/01/2025,3ERA CERRADA DE IGNACIO ALLENDE,CALLEJON DEL ZAPOTE,SAN JOAQUÍN,MIGUEL HIDALGO,MH-2,-99.20718741,19.45411007
49,9882391,COY-3,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,02/01/2025,SANTA LUCIA,ENTRE ENCINO Y,GARCIMARRERO NORTE,ALVARO OBREGON,AO-2,-99.2362534,19.36750313
50,9882398,VC-3,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA CON VIOLENCIA,03/01/2025,COLONES,AGUSCALIENTES,PEÑÓN DE LOS BAÑOS,VENUSTIANO CARRANZA,VC-2,-99.08004968,19.44147869
51,9882405,IZP-9,ALTO IMPACTO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,LESIONES INTENCIONALES POR ARMA DE FUEGO,02/01/2025,FERMIN ESPINOZA,GASTON SANTOS,SAN MIGUEL TEOTONGO,IZTAPALAPA,IZP-10,-98.98653173,19.34216275
52,9882414,CEN-A,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,01/01/2025,MIGUEL LIRA Y ORTEGA,PABLO GARCIA,JUAN ESCUTIA,IZTAPALAPA,IZP-6,-99.03484976,19.3863979
53,9882468,IZP-1,ALTO IMPACTO,VIOLACIÓN,VIOLACION,24/08/2024,ANTONIO CARDENAS,NO SE ESPECIFICA,ESCUADRÓN 201,IZTAPALAPA,IZP-1,-99.11350631,19.36443051
54,9882503,AZ-2,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,03/01/2024,NORTE 77 Y PONIENTE 58,PONIENTE 58,OBRERO POPULAR,AZCAPOTZALCO,AZ-3,-99.17682007,19.46406712
55,9882541,FDS-6,ALTO IMPACTO,VIOLACIÓN,VIOLACION,28/12/2024,DEL IMAN,NO SE ESPECIFICA,PEDREGAL DE LA ZORRA,COYOACAN,COY-4,-99.16091451,19.30593813
56,9882590,UAT-IZC-2,ALTO IMPACTO,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,27/12/2024,PRIVADA RETORNO 1 JAVIER ROJO GOMEZ,SIN REGISTRO,AGRÍCOLA ORIENTAL,IZTACALCO,IZC-3,-99.07079436,19.40426795
57,9882626,2,ALTO IMPACTO,HOMICIDIO DOLOSO,HOMICIDIO POR ARMA DE FUEGO,03/01/2025,PUENTE ZACATE,ORIENTE 116,AMPLIACIÓN GABRIEL RAMOS MILLÁN,IZTACALCO,IZC-2,-99.0920911,19.38784648
58,9882631,UAT-IZC-2,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,03/01/2025,RIO SONORA,SAN RAFAEL ATLIXCO,REAL DEL MORAL,IZTAPALAPA,IZP-4,-99.08401935,19.38976454
59,9882635,COY-3,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,03/01/2024,PASEO DE LOS FRESNOS,SIN REGISTRO,PASEOS DE TAXQUEÑA,COYOACAN,COY-3,-99.12366432,19.34602903
60,9882663,GAM-4,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,02/01/2025,INGENIERO EDUARDO MOLINA,ORIENTE 83,LA MALINCHE,GUSTAVO A MADERO,GAM-7,-99.10784304,19.45432669
61,9882703,FDS-6,ALTO IMPACTO,VIOLACIÓN,VIOLACION,01/01/2020,HERMES,NO SE ESPECIFICA,CRÉDITO CONSTRUCTOR,BENITO JUAREZ,BJ-2,-99.17936828,19.3650097
62,9882710,UAT-IZP-5,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,02/01/2025,FRENTE 10,NO SE ESPECIFICA,CABEZA DE JUAREZ X,IZTAPALAPA,IZP-5,-99.0495117,19.37866319
63,9882715,AEJPA,ALTO IMPACTO,VIOLACIÓN,VIOLACION EQUIPARADA POR CONOCIDO,03/01/2025,PALOMA,SIN REGISTRO,DR. FRANCISCO CABRERA,TLAHUAC,TLH-1,-99.05970918,19.29794723
64,9882726,IZP-4,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,03/01/2024,PUENTE TITLA,NO SE ESPECIFICA,RICARDO FLORES MAGON,IZTAPALAPA,IZP-7,-99.09883015,19.35475245
65,9882727,UAT-TLP-5,ALTO IMPACTO,HOMICIDIO DOLOSO,HOMICIDIO POR ARMA DE FUEGO,03/01/2025,AHUACATITLA,CARRETERA FEDERAL MEXICO CUERNAVACA,SAN MIGUEL TOPILEJO,TLALPAN,TLP-2,-99.15623733,19.20625693
66,9882739,UAT-COY-5,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,02/01/2025,OCTANDADOR DE ELVIRA VARGAS,CANDELARIA PEREZ,CULHUACÁN CTM SECCIÓN IX,COYOACAN,COY-5,-99.10712484,19.311381
67,9882748,BJ-2,ALTO IMPACTO,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,03/01/2025,CALZADA DE TLALPAN,SIN REGISTRO,SAN SIMÓN TICUMAC,BENITO JUAREZ,BJ-4,-99.14156646,19.37103556
68,9882755,UAT-MH-1,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,28/12/2024,LAGO ZIRAHUEN,LAGUNA DEL CARMEN,ANAHUAC,MIGUEL HIDALGO,MH-1,-99.17247891,19.4480494
69,9882757,UAT-VC-2,ALTO IMPACTO,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,31/12/2024,QUETZALCOATL,NO SE ESPECIFICA,PEÑÓN DE LOS BAÑOS,VENUSTIANO CARRANZA,VC-2,-99.0827027,19.4381221
70,9882761,FDS-6,ALTO IMPACTO,VIOLACIÓN,VIOLACION,03/01/2025,PAZ MONTES DE OCA,NO SE ESPECIFICA,GENERAL PEDRO MARIA ANAYA,BENITO JUAREZ,BJ-4,-99.16043182,19.3614501
71,9882766,ORIENTEII,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,03/01/2025,EJEJ 6 ABRAHAM GONZALEZ,NO SE ESPECIFICA,ZONA URBANA EJIDAL SANTA MARIA AZTAHUACAN,IZTAPALAPA,IZP-5,-99.03132498,19.35933724
72,9882784,IZP-8,ALTO IMPACTO,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,31/12/2024,CALZADA ERMITA IZTAPALAPA,NO SE ESPECIFICA,LOS ÁNGELES,IZTAPALAPA,IZP-8,-99.06390309,19.34581404
73,9882786,IZP-4,ALTO IMPACTO,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,18/12/2024,ERMITA,NO SE ESPECIFICA,SANTA BÁRBARA,IZTAPALAPA,IZP-2,-99.10143256,19.35605508
74,9882793,UAT-GAM-3,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,02/01/2025,PROLONGACION JUVENTINO ROSAS,PIRULES,FORESTAL I,GUSTAVO A MADERO,GAM-1,-99.13005441,19.56813295
75,9882807,ORIENTEII,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,03/01/2025,FRANCISCO TLALTENCO,NO SE ESPECIFICA,DESARROLLO URBANO QUETZALCOATL,IZTAPALAPA,IZP-9,-99.04298186,19.31785622
76,9882817,IZP-4,ALTO IMPACTO,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,ROBO A REPARTIDOR SIN VIOLENCIA,01/01/2025,RIO CHURUBUSCO,NO SE ESPECIFICA,CENTRAL DE ABASTO,IZTAPALAPA,IZP-3,-99.09546599,19.3746666
77,9882829,CEN-B,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,11/12/2024,FRANCISCO I MADERO,ISABEL LA CATOLICA,CENTRO,CUAUHTEMOC,CUH-6,-99.13633615,19.4335136
78,9882835,D,ALTO IMPACTO,HOMICIDIO DOLOSO,HOMICIDIO POR ARMA DE FUEGO,03/01/2025,EXOTITLA,XOCHITEPEC,BARRIO SAN JOSÉ,XOCHIMILCO,XO-2,-99.03539599,19.25314524
79,9882838,UAT-CUH-2,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,03/01/2024,EJE UNO NORTE,ZARCO,GUERRERO,CUAUHTEMOC,CUH-2,-99.14505619,19.44530447
80,9882856,COY-1,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,03/01/2025,MIGUEL ANGEL DE QUEVEDO FRENTE AL,SIN REGISTRO,BARRIO SANTA CATARINA,COYOACAN,COY-2,-99.16654605,19.34506759
81,9882881,UAT-TLH-1,ALTO IMPACTO,VIOLACIÓN,VIOLACION,03/01/2025,JUAN DE DIOS PEZA,SIN REGISTRO,MANUEL GUTIERREZ NAJERA,TLAHUAC,TLH-1,-99.04122674,19.30312686
82,9882891,TLH-1,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,03/01/2025,LEONARDO DOMINGUEZ,TIERRA Y LIBERTAD,SANTA CECILIA,TLAHUAC,TLH-2,-99.00196284,19.27714785
83,9882896,VC-3,ALTO IMPACTO,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,03/01/2025,CALZADA IGNACIO ZARAGOZA,SIN REGISTRO,JARDÍN BALBUENA,VENUSTIANO CARRANZA,VC-3,-99.10998613,19.42651123
84,9882907,UAT-TLP-1,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA CON VIOLENCIA,03/01/2025,CONTOY,CALLE HOMUN,HÉROES DE PADIERNA,TLALPAN,TLP-1,-99.22075912,19.28578115
85,9882923,UAT-BJ-3,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,31/12/2024,HERIBERTO FRIAS,SIN REGISTRO,NARVARTE,BENITO JUAREZ,BJ-3,-99.15975049,19.39489141
86,9882938,UAT-TLP-3,ALTO IMPACTO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,LESIONES INTENCIONALES POR ARMA DE FUEGO,03/01/2024,NESMEL,SIN REGISTRO,PEDREGAL DE SANTO DOMINGO,COYOACAN,COY-1,-99.16857988,19.33404157
87,9882941,COY-3,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,03/01/2024,PROGRESO,SIN REGISTRO,BARRIO SANTA CATARINA,COYOACAN,COY-2,-99.17248432,19.35054528
