ID,ID_CI,ct_inicio,impacto,delito,modalidad_delito,fecha,calle1_hechos,calle2_hechos,colonia_hechos,alcaldia_hechos,ct_hechos,cord_x,cord_y
7475,9971436,UAT-AO-3,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,03/05/2025,BARRANCA DEL MUERTO,CALZADA DE LOS LEONES,LOS ALPES,ALVARO OBREGON,AO-3,-99.19537961,19.36337595
7476,9971442,UAT-BJ-1,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,13/05/2025,MERCED GOMEZ,SIN REGISTRO,MERCED GÓMEZ,BENITO JUAREZ,BJ-1,-99.19010371,19.36675918
7477,9971446,UAT-TLH-2,ALTO IMPACTO,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO SIN VIOLENCIA,12/05/2025,SIN REGISTRO,SIN PRECISAR,SIN REGISTRO,SIN REGISTRO,CDMX-0,SIN REGISTRO,SIN REGISTRO
7478,9971459,IZC-3,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,17/05/2025,AVENIDA XOCHIMILCO,HUASTECA,AGRÍCOLA PANTITLAN,IZTACALCO,IZC-3,-99.05775346,19.41266053
7479,9971473,IZP-5,ALTO IMPACTO,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,ROBO A REPARTIDOR CON VIOLENCIA,17/05/2025,CARRIL,2,SAN JUAN XALPA,IZTAPALAPA,IZP-7,-99.082755,19.33876382
7480,9971477,UAT-TLH-1,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,01/05/2025,PRIMERA BOMBAS,Y PANTEON,SANTIAGO NORTE,TLAHUAC,TLH-1,-99.02580768,19.30234179
7481,9971484,UAT-GAM-4,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,16/05/2025,ACUEDUCTO DE GUADALUPE,CACAMA,SANTA ISABEL TOLA,GUSTAVO A MADERO,GAM-4,-99.11592051,19.50145798
7482,9971492,UAT-BJ-3,ALTO IMPACTO,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,15/05/2025,CALZADA DE TLALPAN,VICTOR HUGO,PORTALES SUR,BENITO JUAREZ,BJ-4,-99.14183195,19.36944617
7483,9971500,59,ALTO IMPACTO,VIOLACIÓN,VIOLACION EQUIPARADA,27/04/2025,SIN REGISTRO,NO SE ESPECIFICA,SIN REGISTRO,SIN REGISTRO,CDMX-0,SIN REGISTRO,SIN REGISTRO
7484,9971515,COY-1,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,17/05/2025,TLALMANALCO,VIADUCTO TLALPAN,PUEBLO DE SANTA URSULA COAPA,COYOACAN,COY-4,-99.14472744,19.30524659
7485,9971551,UAT-BJ-5,ALTO IMPACTO,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,10/05/2025,CALZADA DE TLALPAN,SIN REGISTRO,MIRAVALLE,BENITO JUAREZ,BJ-5,-99.14262266,19.36236645
7486,9971550,IZP-8,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,15/05/2025,PERICO,SIN REGISTRO,EL VERGEL,IZTAPALAPA,IZP-7,-99.0811269,19.31690069
7487,9971557,UAT-TLH-1,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,16/05/2025,FRANCISCO JIMENEZ,Y JAZMIN,LA CONCHITA,TLAHUAC,TLH-1,-99.03659016,19.27476201
7488,9971558,FDS-6,ALTO IMPACTO,VIOLACIÓN,VIOLACION EQUIPARADA POR CONOCIDO,17/05/2025,SIN REGISTRO,SIN PRECISAR,SIN REGISTRO,CUAUHTEMOC,FICUH-0,SIN REGISTRO,SIN REGISTRO
7489,9971563,UAT-MC-2,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,13/05/2025,PUENTE DE CUADRITOS,NO SE ESPECIFICA,SAN NICOLÁS TOTOLAPAN,LA MAGDALENA CONTRERAS,MC-2,-99.24167454,19.29429922
7490,9971583,UAT-VC-3,ALTO IMPACTO,VIOLACIÓN,VIOLACION EQUIPARADA POR CONOCIDO,01/08/2014,ORIENTE 150,SIN REGISTRO,MOCTEZUMA 2A SECCIÓN,VENUSTIANO CARRANZA,VC-2,-99.10276759,19.43056195
7491,9971585,59,ALTO IMPACTO,VIOLACIÓN,VIOLACION EQUIPARADA POR CONOCIDO,17/05/2025,TAJIN,NO SE ESPECIFICA,PIEDAD NARVARTE,BENITO JUAREZ,BJ-3,-99.15125525,19.40252281
7492,9971589,AEJPA,ALTO IMPACTO,VIOLACIÓN,VIOLACION EQUIPARADA POR CONOCIDO,11/05/2025,2 DE ABRIL,SIN REGISTRO,GUERRERO,CUAUHTEMOC,CUH-2,-99.14314834,19.43907616
7493,9971590,ORIENTEII,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,16/05/2025,JAIME BALMES,HOMERO,POLANCO,MIGUEL HIDALGO,MH-4,-99.2101787,19.4378249
7494,9971592,UAT-TLH-1,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,16/05/2025,HEBERTO CASTILLO,Y LA TURBA,MIGUEL HIDALGO,TLAHUAC,TLH-1,-99.05078173,19.28743349
